Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait,net_pairs,direction,product,n_LSDV,n_SPPV,n_GTPV
OG0000155,,,36,12,31,211,53.73134328358209,94.61883408071748,20.41935483870968,1.4273769639524966e-17,1.3560081157548717e-15,2.7120162315097433e-16,2,2,1,0.5,1.0,0.0009990009990009,BAPS_cluster_1,1,غنی‌شدگی,hypothetical protein,48,0,0
OG0000004,,,63,131,4,92,94.02985074626866,41.25560538116592,11.061068702290076,6.39894135216751e-09,6.078994284559134e-07,1.013165714093189e-07,2,2,2,0.5,0.5,0.0279720279720279,BAPS_cluster_1,0,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000150,,,61,125,6,98,91.04477611940298,43.946188340807176,7.970666666666666,3.363284340937496e-08,3.195120123890621e-06,4.564457319843745e-07,2,2,2,0.5,0.5,0.0009990009990009,BAPS_cluster_1,0,غنی‌شدگی,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000154,,,41,73,26,150,61.19402985074627,67.2645739910314,3.2402528977871445,5.2320968710750166e-05,0.0049704920275212,0.0004970492027521,2,1,2,0.5,1.0,0.0009990009990009,BAPS_cluster_1,-1,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000152,,,9,82,58,141,13.432835820895525,63.22869955156951,0.266820857863751,0.0002641357544416,0.0250928966719556,0.0019302228209196,2,2,2,0.5,0.5,0.0009990009990009,BAPS_cluster_1,0,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000004,,,0,194,34,62,0.0,24.21875,0.0,4.481629481705892e-19,4.2575480076205967e-17,7.095913346034328e-18,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2,-1,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000152,,,33,58,1,198,97.05882352941175,77.34375,112.65517241379312,5.582211476734186e-18,5.303100902897476e-16,7.57585843271068e-17,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2,0,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000150,,,0,186,34,70,0.0,27.34375,0.0,1.222791470723453e-17,1.1616518971872805e-15,1.4520648714841003e-16,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2,-1,کاهش,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000002,,,10,227,24,29,29.411764705882355,11.328125,0.053230543318649,4.379392607764939e-13,4.160422977376692e-11,4.6226921970852135e-12,1,1,1,1.0,1.0,0.0199800199800199,BAPS_cluster_2,0,کاهش,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000151,,,34,122,0,134,100.0,52.34375,inf,1.2385096458928427e-10,1.1765841635982006e-08,1.1765841635982003e-09,1,1,0,1.0,1.0,0.0039960039960039,BAPS_cluster_2,1,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],106,34,16
OG0000153,,,2,148,32,108,5.88235294117647,42.1875,0.0456081081081081,2.8917265562750327e-09,2.747140228461281e-07,2.4974002076920736e-08,1,1,1,1.0,1.0,0.0119880119880119,BAPS_cluster_2,0,کاهش,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000154,,,0,114,34,142,0.0,55.46875,0.0,1.6640346022479262e-08,1.5808328721355295e-06,1.3173607267796078e-07,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2,-1,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000167,,,7,4,27,252,20.588235294117645,98.4375,16.333333333333332,3.9334379044245264e-05,0.0037367660092033,0.0002669118578002,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2,0,غنی‌شدگی,IMV membrane receptor-like protein [Lumpy skin disease virus NI-2490],4,7,0
OG0000002,,,0,237,16,37,0.0,13.503649635036496,0.0,1.8915485426980586e-13,1.7969711155631556e-11,1.7969711155631556e-11,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_3,-1,کاهش,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000141,,,9,274,7,0,56.25,0.0,0.0,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,0,1,1.0,1.0,0.0349650349650349,BAPS_cluster_3,-1,کاهش,putative IMV membrane protein [Lumpy skin disease virus NI-2490],240,34,9
OG0000170,,,7,0,9,274,43.75,100.0,inf,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,1,0,1.0,1.0,0.0279720279720279,BAPS_cluster_3,1,غنی‌شدگی,hypothetical protein,0,0,7
OG0000152,,,16,75,0,199,100.0,72.62773722627736,inf,3.3189106497608673e-09,3.152965117272824e-07,6.305930234545649e-08,1,1,0,1.0,1.0,0.0079920079920079,BAPS_cluster_3,1,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000004,,,0,194,16,80,0.0,29.1970802919708,0.0,8.43865107936011e-09,8.016718525392104e-07,1.3361197542320173e-07,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_3,-1,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000150,,,0,186,16,88,0.0,32.11678832116788,0.0,3.381602787080752e-08,3.2125226477267147e-06,4.589318068181021e-07,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_3,-1,کاهش,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000153,,,0,150,16,124,0.0,45.25547445255474,0.0,5.443450102544852e-06,0.0005171277597417,6.464096996772011e-05,1,0,1,1.0,1.0,0.0029970029970029,BAPS_cluster_3,-1,کاهش,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000151,,,16,140,0,134,100.0,48.9051094890511,inf,3.638984698460526e-05,0.0034570354635375,0.0003457035463537,1,1,0,1.0,1.0,0.0049950049950049,BAPS_cluster_3,1,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],106,34,16
OG0000154,,,0,114,16,160,0.0,58.3941605839416,0.0,0.0003218250797693,0.0305733825780866,0.0027793984161896,1,0,1,1.0,1.0,0.0099900099900099,BAPS_cluster_3,-1,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000154,,,34,80,0,176,100.0,68.75,inf,5.054473114565996e-16,4.801749458837695e-14,4.801749458837695e-14,1,1,0,1.0,1.0,0.0169830169830169,BAPS_cluster_4,1,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000152,,,30,61,4,195,88.23529411764706,76.171875,23.975409836065573,2.78326486046067e-13,2.6441016174376358e-11,1.3220508087188179e-11,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_4,0,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000151,,,33,123,1,133,97.05882352941175,51.953125,35.68292682926829,4.5092575102265375e-09,4.283794634715211e-07,1.4279315449050704e-07,1,1,1,1.0,1.0,0.0029970029970029,BAPS_cluster_4,0,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],106,34,16
OG0000150,,,32,154,2,102,94.11764705882352,39.84375,10.597402597402596,3.5823541259226145e-05,0.0034032364196264,0.0006806472839252,1,1,1,1.0,1.0,0.0019980019980019,BAPS_cluster_4,0,غنی‌شدگی,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000153,,,136,14,3,137,97.84172661870504,90.72847682119205,443.6190476190476,1.2261548187463463e-61,1.164847077809029e-59,5.824235389045145e-60,1,1,1,1.0,1.0,0.0189810189810189,BAPS_cluster_5,0,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000152,,,3,88,136,63,2.158273381294964,41.72185430463576,0.0157921122994652,9.7371905538847e-29,9.250331026190464e-27,3.0834436753968217e-27,1,1,1,1.0,1.0,0.0019980019980019,BAPS_cluster_5,0,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000149,,,127,75,12,76,91.36690647482014,50.331125827814574,10.724444444444444,2.1069180058865466e-15,2.0015721055922194e-13,5.0039302639805486e-14,1,1,1,1.0,1.0,0.0389610389610389,BAPS_cluster_5,0,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],152,34,16
OG0000004,,,123,71,16,80,88.48920863309353,52.980132450331126,8.661971830985916,1.6480797037009322e-14,1.5656757185158853e-12,3.019910607799575e-13,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_5,0,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000157,,,0,26,139,125,0.0,82.78145695364239,0.0,1.5115413527755064e-08,1.435964285136731e-06,1.5955158723741458e-07,1,0,1,1.0,1.0,0.0029970029970029,BAPS_cluster_5,-1,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],26,0,0
OG0000002,,,131,106,8,45,94.24460431654676,29.80132450331126,6.951650943396227,5.0806732557945175e-08,4.826639593004791e-06,4.826639593004791e-07,1,1,1,1.0,1.0,0.0019980019980019,BAPS_cluster_5,0,غنی‌شدگی,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000003,,,139,127,0,24,100.0,15.89403973509934,inf,6.784717010310877e-08,6.445481159795332e-06,5.859528327086666e-07,1,1,0,1.0,1.0,0.0329670329670329,BAPS_cluster_5,1,غنی‌شدگی,LSDV026 hypothetical protein [Lumpy skin disease virus NI-2490],240,10,16
OG0000159,,,17,2,122,149,12.23021582733813,98.67549668874172,10.381147540983608,0.0001716874581989,0.0163103085288959,0.0012546391176073,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_5,0,غنی‌شدگی,hypothetical protein,19,0,0
OG0000154,,,39,75,100,76,28.05755395683453,50.331125827814574,0.3952,0.0001882332791879,0.0178821615228534,0.0012772972516323,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_5,0,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000155,,,12,36,127,115,8.633093525179856,76.15894039735099,0.3018372703412073,0.0004770112787101,0.0453160714774636,0.0030210714318309,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_5,0,کاهش,hypothetical protein,48,0,0
OG0000157,,,0,26,85,179,0.0,87.3170731707317,0.0,0.000142167713346,0.0135059327678738,0.0071362809655917,9,0,9,0.00390625,0.00390625,0.0019980019980019,Europe,-9,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],26,0,0
OG0000155,,,4,44,81,161,4.705882352941177,78.53658536585367,0.180695847362514,0.0002253562410186,0.0214088428967752,0.0071362809655917,13,4,10,0.09228515625,0.2668457031249998,0.0389610389610389,Europe,-6,کاهش,hypothetical protein,48,0,0
OG0000154,,,20,94,65,111,23.52941176470588,54.14634146341464,0.3633387888707037,0.0003607921153906,0.0342752509621164,0.0085688127405291,10,9,2,0.0214843749999999,0.109375,0.0139860139860139,Europe,7,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000002,,,223,14,13,40,94.49152542372882,74.07407407407408,49.010989010989015,5.6498364074649e-26,5.3673445870916565e-24,1.3418361467729141e-24,2,1,2,0.5,1.0,0.0039960039960039,Host_Cattle,-1,غنی‌شدگی,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000152,,,42,49,194,5,17.796610169491526,9.25925925925926,0.0220913107511045,1.923152136766164e-24,1.8269945299278557e-22,3.0449908832130924e-23,2,2,1,0.5,1.0,0.0019980019980019,Host_Cattle,1,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000154,,,114,0,122,54,48.30508474576271,100.0,inf,6.046715850800638e-14,5.744380058260605e-12,5.744380058260604e-13,2,2,0,0.5,0.5,0.0009990009990009,Host_Cattle,2,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000153,,,144,6,92,48,61.01694915254237,88.88888888888889,12.521739130434783,8.067794268377067e-12,7.664404554958212e-10,6.967640504507466e-11,2,1,2,0.5,1.0,0.0219780219780219,Host_Cattle,-1,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000144,,,236,44,0,10,100.0,18.51851851851852,inf,2.4147787877585734e-08,2.2940398483706448e-06,1.6385998916933179e-07,1,1,0,1.0,1.0,0.0169830169830169,Host_Cattle,1,غنی‌شدگی,putative alpha aminitin-sensitive protein [Lumpy skin disease virus NI-2490],240,32,8
OG0000155,,,48,0,188,54,20.33898305084746,100.0,inf,2.5516227270834765e-05,0.0024240415907293,0.0001425906818076,2,2,0,0.5,0.5,0.0009990009990009,Host_Cattle,2,غنی‌شدگی,hypothetical protein,48,0,0
OG0000002,,,0,237,16,37,0.0,13.503649635036496,0.0,1.8915485426980586e-13,1.7969711155631556e-11,1.7969711155631556e-11,1,0,1,1.0,1.0,0.0009990009990009,Host_Goat,-1,کاهش,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000141,,,9,274,7,0,56.25,0.0,0.0,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,0,1,1.0,1.0,0.0249750249750249,Host_Goat,-1,کاهش,putative IMV membrane protein [Lumpy skin disease virus NI-2490],240,34,9
OG0000170,,,7,0,9,274,43.75,100.0,inf,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,1,0,1.0,1.0,0.0299700299700299,Host_Goat,1,غنی‌شدگی,hypothetical protein,0,0,7
OG0000152,,,16,75,0,199,100.0,72.62773722627736,inf,3.3189106497608673e-09,3.152965117272824e-07,6.305930234545649e-08,1,1,0,1.0,1.0,0.0019980019980019,Host_Goat,1,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
