year,root_to_tip_distance
1965.0,3811.2416
2018.0,3832.22126
2012.027397260274,3836.0469
2014.0,3840.6191
2008.0,3839.6648
2021.0,3839.6645599999997
2019.174885844749,2980.40192
2022.0833333333333,3231.28683
2022.8321917808219,3230.1556
2022.9166666666667,3231.28176
2021.0,3230.15572
2023.75,3229.03455
2019.0,3229.04429
2021.2296803652969,3229.04429
2022.0,3229.05403
2020.0,3229.05403
2021.3157534246575,3229.04429
2022.4440639269408,3229.02968
2022.6803652968038,3230.1556
2022.0,3238.07722
2022.0,3235.82423
2022.0,3235.8291
2022.0,3235.8291
2020.0,3231.29126
2022.0,3230.1702099999998
2020.0,3230.1702099999998
2020.4166666666667,3230.15073
2020.9127853881278,3230.1556
2020.75,3230.15073
2020.8267123287671,3230.15073
2020.5,3226.76398
2021.419406392694,3226.76398
2021.527397260274,3226.77859
2022.0,3226.78346
2021.7433789954339,3226.78833
2022.0,3226.78833
2021.6666666666667,3226.77859
2021.407305936073,3226.77859
2022.4742009132422,3226.76885
2021.0,3226.76885
2020.919406392694,3234.73453
2021.0,3229.04493
2021.0,3229.04493
2020.8321917808219,3227.92399
2020.0,3227.93373
2020.4166666666667,3227.9386
2020.629908675799,3227.9386
2020.879908675799,3227.91912
2019.60799086758,3227.90958
2021.7242009132422,3227.90938
2022.9714611872148,3227.91924
2020.0,3227.91924
2020.0,3230.1764
2013.0,3229.04528
2022.1244292237443,3226.78833
2021.3826484018264,3226.7932
2021.7828767123287,3226.80294
2022.0,3227.93373
2019.5833333333333,3240.40682
2022.651826484018,3229.06959
2022.6545662100457,3226.80294
2021.3497716894976,3226.80781
2021.0,3226.81755
2019.0,3226.81755
2021.4358447488585,3226.81755
2021.8130136986301,3227.95321
2022.0833333333333,3227.95321
2021.75,3229.0802
2022.4550228310502,3226.78346
2021.0,3226.77859
2018.5328767123287,3244.29142
2019.0,3407.27159
1991.0,3456.61035
1993.0,3460.6050999999998
1997.0,3464.60746
1993.0,3464.61233
1993.0,3464.61233
1993.0,3464.60259
1977.0,3450.98604
1959.0,3456.3116
2009.0,3452.3176
1959.0,3450.99074
1958.0,3454.9884
2022.0,3458.99583
2022.0,3459.0007
2022.0,3459.0007
2011.0,3457.66839
1958.0,3453.66677
1957.0,3449.65953
2016.5821917808219,3453.65482
1988.0,3453.66456
2016.0,3454.99591
1999.0,3454.99591
2022.0,3454.99596
2022.0,3454.99596
1959.0,3454.97632
1954.0,3450.98606
2019.0,3477.44935
2017.0,3483.19371
2018.6666666666667,3320.44974
2019.0,2929.86417
2018.0,2939.97498
2000.0,2948.0635
1959.0,2932.89008
1995.0,2929.86617
2006.0,2929.86617
2018.0,2937.98067
2016.6666666666667,2939.99342
2018.0,2936.97207
2011.0,2936.97712
2011.0,2956.24899
2022.0,2945.05142
2022.0,2945.05142
2012.0,2948.07821
2017.0,2934.9592
2018.0,2939.9957
1997.0,2931.92307
2009.0,2938.98682
2021.0,2938.99169
2006.0,2938.99169
2019.0,2938.99169
2021.0,2938.99169
2024.3020547945205,2944.04731
2022.0,2945.06987
2023.1666666666667,2945.06987
2023.0,2945.0797000000002
2022.0,2949.11697
2022.0,2945.09481
2024.0,2945.08935
2022.0,2947.10819
2022.5833333333333,2945.11479
2023.0,2944.10088
2022.0,2944.10088
2022.5833333333333,2944.09114
2022.0,2944.09114
2024.0,2944.09114
2022.5833333333333,2944.0814
2023.0,2944.06679
2023.1666666666667,2944.07653
2022.8157534246575,2944.07653
2022.0,2944.0814
2022.0,2944.08627
2022.0,2944.09114
2022.0,2944.09114
2022.0,2944.07653
2022.0,2944.06679
2022.0,2944.05218
2024.6666666666667,2946.05526
2015.0,2938.98981
2016.4577625570778,2939.00358
2017.6052511415523,2941.02085
2016.4358447488585,2940.04608
2016.5602739726028,2941.07407
2016.901826484018,2941.07397
2016.6353881278537,2940.06069
2016.3744292237443,2940.06069
2017.6052511415523,2941.06432
2016.7324200913242,2940.06069
2016.5520547945205,2940.05582
2016.6271689497717,2940.05095
2017.4495433789955,2940.03147
2016.4358447488585,2941.03037
2016.9550228310502,2941.03014
2016.901826484018,2939.03767
2017.4495433789955,2939.02793
2016.6353881278537,2939.02793
2016.291095890411,2939.02793
2015.6326484018264,2938.00004
2016.6271689497717,2938.00491
2021.0,2937.99036
2014.6189497716894,2936.98666
2012.9687214611872,2936.98666
2016.5191780821917,2937.98525
2015.0,2941.00727
2019.0,2943.0236
2018.0301369863014,2942.01956
2019.0,2885.23596
2007.0,2890.83962
2022.0,2891.8479
2022.5833333333333,2890.84935
2021.5833333333333,2890.84935
2021.0,2889.8412
2023.0,2889.85581
2023.0,2889.85581
2020.0,2889.85581
