Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait
OG0000170,,,7,0,9,274,43.75,100.0,inf,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,1,0,1.0,1.0,0.0269730269730269,Host_Goat
OG0000152,,,16,75,0,199,100.0,72.62773722627736,inf,3.3189106497608673e-09,3.152965117272824e-07,6.305930234545649e-08,1,1,0,1.0,1.0,0.0019980019980019,Host_Goat
OG0000004,,,0,194,16,80,0.0,29.1970802919708,0.0,8.43865107936011e-09,8.016718525392104e-07,1.3361197542320173e-07,1,0,1,1.0,1.0,0.0029970029970029,Host_Goat
OG0000150,,,0,186,16,88,0.0,32.11678832116788,0.0,3.381602787080752e-08,3.2125226477267147e-06,4.589318068181021e-07,1,0,1,1.0,1.0,0.0019980019980019,Host_Goat
OG0000153,,,0,150,16,124,0.0,45.25547445255474,0.0,5.443450102544852e-06,0.0005171277597417,6.464096996772011e-05,1,0,1,1.0,1.0,0.0259740259740259,Host_Goat
OG0000151,,,16,140,0,134,100.0,48.9051094890511,inf,3.638984698460526e-05,0.0034570354635375,0.0003457035463537,1,1,0,1.0,1.0,0.0249750249750249,Host_Goat
OG0000154,,,0,114,16,160,0.0,58.3941605839416,0.0,0.0003218250797693,0.0305733825780866,0.0027793984161896,1,0,1,1.0,1.0,0.0239760239760239,Host_Goat
OG0000003,,,10,256,24,0,29.411764705882355,0.0,0.0,1.729092269846267e-27,1.6426376563539534e-25,4.1065941408848836e-26,1,0,1,1.0,1.0,0.0479520479520479,Host_Sheep
OG0000004,,,0,194,34,62,0.0,24.21875,0.0,4.481629481705892e-19,4.2575480076205967e-17,7.095913346034328e-18,1,0,1,1.0,1.0,0.0089910089910089,Host_Sheep
OG0000152,,,33,58,1,198,97.05882352941175,77.34375,112.65517241379312,5.582211476734186e-18,5.303100902897476e-16,7.57585843271068e-17,1,1,1,1.0,1.0,0.0009990009990009,Host_Sheep
OG0000150,,,0,186,34,70,0.0,27.34375,0.0,1.222791470723453e-17,1.1616518971872805e-15,1.4520648714841003e-16,1,0,1,1.0,1.0,0.0009990009990009,Host_Sheep
OG0000151,,,34,122,0,134,100.0,52.34375,inf,1.2385096458928427e-10,1.1765841635982006e-08,1.1765841635982003e-09,1,1,0,1.0,1.0,0.0129870129870129,Host_Sheep
OG0000153,,,2,148,32,108,5.88235294117647,42.1875,0.0456081081081081,2.8917265562750327e-09,2.747140228461281e-07,2.4974002076920736e-08,1,1,1,1.0,1.0,0.0039960039960039,Host_Sheep
OG0000154,,,0,114,34,142,0.0,55.46875,0.0,1.6640346022479262e-08,1.5808328721355295e-06,1.3173607267796078e-07,1,0,1,1.0,1.0,0.0059940059940059,Host_Sheep
OG0000167,,,7,4,27,252,20.588235294117645,98.4375,16.333333333333332,3.9334379044245264e-05,0.0037367660092033,0.0002669118578002,1,1,1,1.0,1.0,0.0009990009990009,Host_Sheep
OG0000154,,,39,75,150,26,20.634920634920636,25.742574257425744,0.0901333333333333,4.503192529044573e-19,4.2780329025923427e-17,1.0695082256480858e-17,5,2,5,0.0625,1.0,0.0019980019980019,No_recombination
OG0000149,,,0,202,10,78,0.0,27.857142857142858,0.0,4.554611177623335e-06,0.0004326880618742,0.0004326880618742,3,0,3,0.25,0.25,0.0039960039960039,Recombinant
OG0000152,,,14,77,6,193,70.0,71.48148148148148,5.848484848484849,0.0002707481325965,0.0257210725966684,0.0128605362983342,4,3,3,0.625,0.625,0.0219780219780219,Vaccine
