tip,Continent
MN072619.1,Africa
PP065789.1,Africa
SRR28085235,Africa
KX764643.1,Africa
MN636843.1,Africa
MK441838.1,Africa
OR644282.1,Africa
OM793607.1,Africa
OM793609.1,Africa
SRR27563726,Africa
OK318001.1,Africa
MN636840.1,Africa
KX764645.1,Africa
SRR27563732,Africa
AF409137.1,Africa
SRR27563728,Africa
OM793606.1,Africa
AF325528.1,Africa
SRR27563731,Africa
MT007950.1,Africa
MN636841.1,Africa
MW167071.1,Africa
KX683219.1,Africa
OR644284.1,Africa
MN072628.1,Africa
OR644285.1,Africa
OM793605.1,Africa
OM793604.1,Africa
MW631933.1,Africa
OR644283.1,Africa
SRR28085239,Africa
MN636839.1,Africa
SRR27563723,Africa
SRR27563725,Africa
MW656252.1,Africa
SRR27563735,Africa
SRR27563734,Africa
NC_003027.1,Africa
MN636842.1,Africa
SRR27563729,Africa
SRR34490579,Africa
OM793608.1,Africa
KX764644.1,Africa
PP065788.1,Africa
MN636838.1,Africa
MW435866.1,Africa
SRR12021191,Africa
AF409138.1,Africa
MW656253.1,Africa
SRR12021190,Africa
MN072624.1,Africa
SRR28085238,Africa
OR393169.1,Asia
OK422493.1,Asia
OR520147.1,Asia
PX127682.1,Asia
PQ472736.1,Asia
PX127683.1,Asia
OP752701.1,Asia
OR393171.1,Asia
OR347836.1,Asia
PX127681.1,Asia
SRR27563733,Asia
PP746705.1,Asia
MN072620.1,Asia
PV167793.1,Asia
OQ427097.1,Asia
PP979138.1,Asia
PQ179265.1,Asia
OP508345.1,Asia
OR983149.1,Asia
OR983151.1,Asia
MW732649.1,Asia
PQ682462.1,Asia
PX497580.1,Asia
MZ577076.1,Asia
ON400507.1,Asia
SRR25461327,Asia
OP688129.1,Asia
SRR25046328,Asia
SRR15145279_SRR15145280_Merged,Asia
KT438551.1,Asia
OQ267778.1,Asia
KX894508.1,Asia
OM984486.1,Asia
OR983146.1,Asia
SRR28085236,Asia
OR393172.1,Asia
SRR29762742,Asia
OR393167.1,Asia
OP985536.1,Asia
OR393176.1,Asia
MW355944.1,Asia
PX499192.1,Asia
OQ555660.1,Asia
OK422492.1,Asia
KC951854.1,Asia
PP145891.1,Asia
MZ577074.1,Asia
OR239060.1,Asia
OR347834.1,Asia
PQ510117.1,Asia
OQ200493.1,Asia
OQ588787.1,Asia
OR134843.1,Europe
SRR26747374_SRR26747375_Merged,Europe
OR134844.1,Europe
PQ727625.1,Europe
OR134833.1,Europe
SRR26747364_SRR26747365_Merged,Europe
SRR26747384_SRR26747383_Merged,Europe
AY077833.1,Europe
OR134848.1,Europe
PQ727632.1,Europe
MW030512.1,Europe
PQ727633.1,Europe
SRR26747366_SRR26747367_Merged,Europe
ON961656.1,Europe
PP886237.1,Europe
MH646674.1,Europe
PQ727628.1,Europe
OR134845.1,Europe
ON961655.1,Europe
PQ727631.1,Europe
PP843160.1,Europe
PQ727629.1,Europe
SRR26747380_SRR26747379_Merged,Europe
OM793603.1,Europe
SRR26747368_SRR26747369_Merged,Europe
SRR11470182,Europe
SRR26747386_SRR26747385_Merged,Europe
SRR26747388_SRR26747389_Merged,Europe
PQ014465.1,Europe
OR134838.1,Europe
OR134849.1,Europe
PP886238.1,Europe
OM793602.1,Europe
OQ434236.1,Europe
OR134837.1,Europe
AY077834.1,Europe
MW020570.1,Europe
OR134839.1,Europe
MT134042.1,Europe
OR134834.1,Europe
OR134836.1,Europe
PV434148.1,Europe
KY829023.3,Europe
SRR26747394_SRR26747395_Merged,Europe
SRR26747378_SRR26747377_Merged,Europe
AY077835.1,Europe
KY702007.1,Europe
OR134841.1,Europe
SRR26747382_SRR26747381_Merged,Europe
OQ434235.1,Europe
SRR26747390_SRR26747391_Merged,Europe
MW699032.1,Europe
