tip,Continent
OK318001.1,Africa
SRR28085235,Africa
OM793605.1,Africa
AF409138.1,Africa
MN636843.1,Africa
OR644283.1,Africa
OR644282.1,Africa
OM793604.1,Africa
MW435866.1,Africa
OM793609.1,Africa
MW656253.1,Africa
SRR12021190,Africa
MN636840.1,Africa
SRR27563734,Africa
MN072619.1,Africa
MW167071.1,Africa
SRR27563725,Africa
KX764645.1,Africa
SRR27563735,Africa
MN072624.1,Africa
SRR27563729,Africa
KX683219.1,Africa
NC_003027.1,Africa
SRR28085239,Africa
OM793606.1,Africa
MW656252.1,Africa
MN072628.1,Africa
MN636842.1,Africa
MT007950.1,Africa
SRR27563728,Africa
MN636838.1,Africa
SRR27563723,Africa
SRR27563731,Africa
OR644285.1,Africa
OM793608.1,Africa
SRR34490579,Africa
MN636841.1,Africa
MW631933.1,Africa
PP065788.1,Africa
KX764643.1,Africa
AF325528.1,Africa
OR644284.1,Africa
SRR28085238,Africa
AF409137.1,Africa
PP065789.1,Africa
KX764644.1,Africa
MK441838.1,Africa
SRR12021191,Africa
SRR27563726,Africa
SRR27563732,Africa
MN636839.1,Africa
OM793607.1,Africa
MN072630.1,Asia
OP752701.1,Asia
SRR27563727,Asia
OQ253254.1,Asia
OQ349695.1,Asia
OM803091.1,Asia
SRR25046331,Asia
PQ824704.1,Asia
MW883897.1,Asia
MW167070.1,Asia
OR393175.1,Asia
PX497580.1,Asia
PV835012.1,Asia
MZ577076.1,Asia
OR393171.1,Asia
OR393167.1,Asia
OK422494.1,Asia
OR520147.1,Asia
OQ253250.1,Asia
OR347837.1,Asia
PQ824703.1,Asia
SRR27563724,Asia
PP145891.1,Asia
SRR25461328,Asia
SRR28085236,Asia
SRR24474207,Asia
PX499192.1,Asia
MZ577073.1,Asia
PQ037207.1,Asia
PV877838.1,Asia
KX576657.1,Asia
OR393172.1,Asia
OR393178.1,Asia
OM033705.1,Asia
OQ267778.1,Asia
MN072620.1,Asia
MN072623.1,Asia
OR567413.1,Asia
OR983152.1,Asia
SRR29762742,Asia
PQ682462.1,Asia
MT137384.1,Asia
PV167793.1,Asia
PQ201927.1,Asia
MN072622.1,Asia
OR863389.1,Asia
PQ179265.1,Asia
OR239060.1,Asia
OR735987.1,Asia
OP985536.1,Asia
OR983146.1,Asia
OR232413.1,Asia
OR134834.1,Europe
PQ727633.1,Europe
OQ434237.1,Europe
ON961657.1,Europe
SRR26747380_SRR26747379_Merged,Europe
PP886236.1,Europe
SRR26747378_SRR26747377_Merged,Europe
SRR26747398_SRR26747399_Merged,Europe
PQ014465.1,Europe
PQ727630.1,Europe
OR134844.1,Europe
MT130502.2,Europe
OR134840.1,Europe
MW020570.1,Europe
PQ727629.1,Europe
OR134841.1,Europe
ON010590.1,Europe
OQ434238.1,Europe
AY077835.1,Europe
OR134833.1,Europe
SRR26747366_SRR26747367_Merged,Europe
OQ434235.1,Europe
ON005067.1,Europe
OR134849.1,Europe
SRR26747374_SRR26747375_Merged,Europe
OM793602.1,Europe
SRR26747390_SRR26747391_Merged,Europe
PP843160.1,Europe
AY077836.1,Europe
MG972412.1,Europe
PQ727628.1,Europe
MN642592.1,Europe
OR134843.1,Europe
PQ727631.1,Europe
SRR26747396_SRR26747397_Merged,Europe
OR134835.1,Europe
OR134839.1,Europe
PQ727632.1,Europe
OR134837.1,Europe
OR134842.1,Europe
KY702007.1,Europe
AY077834.1,Europe
MH646674.1,Europe
OR134847.1,Europe
MT643825.1,Europe
OR134845.1,Europe
OR134848.1,Europe
SRR26283950,Europe
ON961655.1,Europe
KY829023.3,Europe
SRR26747364_SRR26747365_Merged,Europe
OR134836.1,Europe
