tip,Continent
MN636842.1,Africa
SRR12021190,Africa
OR644285.1,Africa
MN072619.1,Africa
NC_003027.1,Africa
SRR12021191,Africa
OM793609.1,Africa
SRR27563725,Africa
SRR28085239,Africa
KX764643.1,Africa
SRR27563734,Africa
AF325528.1,Africa
SRR27563732,Africa
MN636843.1,Africa
PP065788.1,Africa
MN636841.1,Africa
MN636839.1,Africa
SRR27563723,Africa
SRR28085238,Africa
OM793604.1,Africa
MN072624.1,Africa
MK441838.1,Africa
MW631933.1,Africa
SRR27563728,Africa
OM793606.1,Africa
SRR27563726,Africa
SRR27563729,Africa
SRR27563735,Africa
SRR27563731,Africa
MW656252.1,Africa
AF409138.1,Africa
KX764644.1,Africa
MW167071.1,Africa
AF409137.1,Africa
OR644282.1,Africa
OK318001.1,Africa
SRR28085235,Africa
OR644284.1,Africa
MT007950.1,Africa
MN636838.1,Africa
KX764645.1,Africa
OR644283.1,Africa
MN072628.1,Africa
PP065789.1,Africa
MW656253.1,Africa
SRR34490579,Africa
OM793605.1,Africa
OM793608.1,Africa
MW435866.1,Africa
KX683219.1,Africa
OM793607.1,Africa
MN636840.1,Africa
PQ682461.1,Asia
OR393171.1,Asia
PQ201927.1,Asia
PX127683.1,Asia
PP145891.1,Asia
SRR27563730,Asia
OR863389.1,Asia
SRR21590386,Asia
PQ005629.1,Asia
OQ267777.1,Asia
OR567413.1,Asia
MH381810.1,Asia
OR347835.1,Asia
ON400507.1,Asia
OR393177.1,Asia
MZ577075.1,Asia
OQ253252.1,Asia
OR232414.1,Asia
OR347836.1,Asia
OK422494.1,Asia
MN072630.1,Asia
PV167794.1,Asia
PX499192.1,Asia
MW732649.1,Asia
OR797612.1,Asia
MN072631.1,Asia
OQ253250.1,Asia
PQ824704.1,Asia
MT137384.1,Asia
KT438550.1,Asia
OM803092.1,Asia
SRR27563727,Asia
SRR28085236,Asia
OQ253251.1,Asia
SRR29762742,Asia
MN072629.1,Asia
KX894508.1,Asia
SRR28085241,Asia
OR393172.1,Asia
PP053747.1,Asia
PQ824706.1,Asia
OP752701.1,Asia
OR983147.1,Asia
OR393169.1,Asia
ON616408.1,Asia
OR347834.1,Asia
OM373209.1,Asia
OQ555660.1,Asia
OK422493.1,Asia
KX576657.1,Asia
OM984486.1,Asia
AY077832.1,Asia
MN642592.1,Europe
MT992618.1,Europe
SRR26747382_SRR26747381_Merged,Europe
SRR11470182,Europe
KY702007.1,Europe
ON961655.1,Europe
PP843160.1,Europe
OR134836.1,Europe
OR134832.1,Europe
OL542833.1,Europe
KY829023.3,Europe
OR134842.1,Europe
OR134839.1,Europe
OR134845.1,Europe
MW699032.1,Europe
OR134847.1,Europe
SRR26283950,Europe
PQ727625.1,Europe
PQ727633.1,Europe
OR134848.1,Europe
SRR26747396_SRR26747397_Merged,Europe
OR134833.1,Europe
ON961657.1,Europe
SRR26747368_SRR26747369_Merged,Europe
SRR26747366_SRR26747367_Merged,Europe
OR134844.1,Europe
MW020571.1,Europe
SRR26747380_SRR26747379_Merged,Europe
PQ727629.1,Europe
MW030512.1,Europe
SRR26747394_SRR26747395_Merged,Europe
PQ014465.1,Europe
OR134834.1,Europe
OM793602.1,Europe
AY077833.1,Europe
ON961656.1,Europe
SRR26747384_SRR26747383_Merged,Europe
OM530217.1,Europe
AY077834.1,Europe
ON010590.1,Europe
OR134838.1,Europe
SRR26747390_SRR26747391_Merged,Europe
PQ727628.1,Europe
MH893760.2,Europe
AY077836.1,Europe
OR194148.1,Europe
OQ434236.1,Europe
OM793603.1,Europe
SRR26747374_SRR26747375_Merged,Europe
SRR26747364_SRR26747365_Merged,Europe
OQ434238.1,Europe
PQ727627.1,Europe
