tip,Continent
MN636841.1,Africa
NC_003027.1,Africa
OK318001.1,Africa
MN072619.1,Africa
MN636839.1,Africa
SRR27563732,Africa
AF409138.1,Africa
KX764644.1,Africa
SRR28085235,Africa
MN636842.1,Africa
OR644283.1,Africa
MN636840.1,Africa
OM793604.1,Africa
AF409137.1,Africa
OM793608.1,Africa
OR644282.1,Africa
SRR12021190,Africa
SRR28085238,Africa
PP065789.1,Africa
SRR27563735,Africa
SRR27563723,Africa
SRR27563734,Africa
SRR27563728,Africa
MK441838.1,Africa
OR644285.1,Africa
AF325528.1,Africa
MW656253.1,Africa
SRR27563729,Africa
MN636843.1,Africa
SRR27563725,Africa
PP065788.1,Africa
SRR27563726,Africa
KX683219.1,Africa
OM793606.1,Africa
MW435866.1,Africa
OM793609.1,Africa
MW631933.1,Africa
MN072624.1,Africa
OR644284.1,Africa
KX764645.1,Africa
SRR12021191,Africa
MN072628.1,Africa
OM793605.1,Africa
SRR27563731,Africa
MT007950.1,Africa
MW167071.1,Africa
SRR34490579,Africa
OM793607.1,Africa
MN636838.1,Africa
SRR28085239,Africa
MW656252.1,Africa
KX764643.1,Africa
SRR25046328,Asia
MN072621.1,Asia
PV835012.1,Asia
OP922506.1,Asia
OM803092.1,Asia
PQ824706.1,Asia
PQ824703.1,Asia
OR347837.1,Asia
SRR25461328,Asia
OR983147.1,Asia
PQ510117.1,Asia
OM105589.1,Asia
ON152411.1,Asia
MZ577073.1,Asia
SRR21590386,Asia
OR393174.1,Asia
SRR26792425,Asia
PV877838.1,Asia
PX127682.1,Asia
OP985536.1,Asia
OR393173.1,Asia
OM984485.1,Asia
SRR29762742,Asia
OR347836.1,Asia
MN995838.1,Asia
OQ253254.1,Asia
OP508345.1,Asia
OK422494.1,Asia
SRR27563733,Asia
KC951854.1,Asia
SRR28085236,Asia
OP297402.1,Asia
NC_004002.1,Asia
SRR25461327,Asia
KX576657.1,Asia
OQ253252.1,Asia
OL752713.2,Asia
OP752701.1,Asia
PX499192.1,Asia
PQ179265.1,Asia
OR983146.1,Asia
OQ253251.1,Asia
MW732649.1,Asia
OR393178.1,Asia
SRR15145277_SRR15145278_Merged,Asia
MN072627.1,Asia
MW355944.1,Asia
SRR27563724,Asia
KT438551.1,Asia
MZ577074.1,Asia
PP145891.1,Asia
MW167070.1,Asia
OR134837.1,Europe
MW020570.1,Europe
AY077834.1,Europe
OR134847.1,Europe
OR134842.1,Europe
OM793602.1,Europe
SRR26747368_SRR26747369_Merged,Europe
PP886238.1,Europe
OQ434236.1,Europe
MW699032.1,Europe
PP843160.1,Europe
SRR26747386_SRR26747385_Merged,Europe
PQ014465.1,Europe
SRR26747378_SRR26747377_Merged,Europe
PP886236.1,Europe
MT130502.2,Europe
MH893760.2,Europe
OR134835.1,Europe
MT643825.1,Europe
KY702007.1,Europe
SRR26283950,Europe
MT992618.1,Europe
SRR26747390_SRR26747391_Merged,Europe
OR134832.1,Europe
PQ727628.1,Europe
ON005067.1,Europe
MN642592.1,Europe
OR194148.1,Europe
OQ434239.1,Europe
OQ434238.1,Europe
OR134844.1,Europe
PQ727625.1,Europe
SRR26747398_SRR26747399_Merged,Europe
PQ727632.1,Europe
PQ727633.1,Europe
SRR26747394_SRR26747395_Merged,Europe
SRR11470182,Europe
SRR26747387_SRR26747376_Merged,Europe
ON010590.1,Europe
OR134841.1,Europe
PV434148.1,Europe
MH646674.1,Europe
OL542833.1,Europe
OM793603.1,Europe
OM530217.1,Europe
PQ727626.1,Europe
AY077833.1,Europe
SRR26747384_SRR26747383_Merged,Europe
PQ727630.1,Europe
AY077836.1,Europe
AY077835.1,Europe
MT134042.1,Europe
