"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000149","","","0","202","10","78","0.0","27.857142857142858","0.0","4.554611177623335e-06","0.00043268806187421677","0.00043268806187421677","3","0","3","0.25","0.25","0.002997002997002997"
"OG0000153","","","0","150","10","130","0.0","46.42857142857143","0.0","0.0005788626260250693","0.054991949472381584","0.027495974736190792","3","0","3","0.25","0.25","0.007992007992007992"
"OG0000154","","","8","106","2","174","80.0","62.142857142857146","6.566037735849057","0.01588402239505702","1.0","0.502994042510139","3","2","2","1.0","1.0","0.5"
"OG0000151","","","9","147","1","133","90.0","47.5","8.142857142857142","0.022845320529395557","1.0","0.5425763625731445","2","1","1","1.0","1.0","0.5"
