"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000157","","","0","26","85","179","0.0","87.3170731707317","0.0","0.00014216771334604088","0.013505932767873884","0.007136280965591736","9","0","9","0.00390625","0.00390625","0.001998001998001998"
"OG0000001","","","65","191","20","14","76.47058823529412","6.829268292682928","0.23821989528795812","0.00018257915261383353","0.017345019498314185","0.007136280965591736","11","7","4","0.548828125","0.548828125","0.90625"
"OG0000155","","","4","44","81","161","4.705882352941177","78.53658536585367","0.18069584736251404","0.0002253562410186864","0.021408842896775207","0.007136280965591736","13","4","10","0.09228515625000003","0.26684570312499983","0.03896103896103896"
"OG0000154","","","20","94","65","111","23.52941176470588","54.146341463414636","0.36333878887070375","0.0003607921153906991","0.034275250962116414","0.008568812740529104","10","9","2","0.021484374999999997","0.10937500000000003","0.013986013986013986"
"OG0000159","","","0","19","85","186","0.0","90.73170731707317","0.0","0.0013635986137641506","0.12954186830759432","0.025908373661518862","6","0","6","0.03125","0.03125","0.005994005994005994"
"OG0000147","","","67","189","18","16","78.82352941176471","7.804878048780488","0.315108759553204","0.002277358322519499","0.21634904063935242","0.03605817343989207","1","1","1","1.0","1.0","1.0"
"OG0000160","","","0","16","85","189","0.0","92.19512195121952","0.0","0.004164515525286154","0.3956289749021846","0.04945362186277308","6","0","6","0.03125","0.03125","0.014985014985014986"
"OG0000161","","","0","16","85","189","0.0","92.19512195121952","0.0","0.004164515525286154","0.3956289749021846","0.04945362186277308","6","0","6","0.03125","0.03125","0.00999000999000999"
"OG0000150","","","44","142","41","63","51.76470588235295","30.73170731707317","0.47612504294057023","0.006919429273303969","0.6573457809638771","0.07303842010709745","10","7","4","0.3437499999999999","0.7539062500000002","0.3125"
"OG0000146","","","67","185","18","20","78.82352941176471","9.75609756097561","0.4024024024024024","0.01244525631430666","1.0","0.0920506452719067","3","3","1","0.25","1.0","0.8125"
"OG0000163","","","0","13","85","192","0.0","93.65853658536587","0.0","0.012541363829141113","1.0","0.0920506452719067","5","0","5","0.0625","0.0625","0.024975024975024976"
"OG0000164","","","0","13","85","192","0.0","93.65853658536587","0.0","0.012541363829141113","1.0","0.0920506452719067","5","0","5","0.0625","0.0625","0.027972027972027972"
"OG0000162","","","0","14","85","191","0.0","93.17073170731707","0.0","0.012596404089839867","1.0","0.0920506452719067","5","0","5","0.0625","0.0625","0.02097902097902098"
"OG0000166","","","0","12","85","193","0.0","94.14634146341463","0.0","0.021098661780107945","1.0","0.1431694906507325","5","0","5","0.0625","0.0625","0.04495504495504495"
"OG0000148","","","66","180","19","25","77.64705882352942","12.195121951219512","0.4824561403508772","0.03217475647761641","1.0","0.2037734576915706","3","2","2","1.0","1.0","0.84375"
"OG0000149","","","67","135","18","70","78.82352941176471","34.146341463414636","1.9300411522633745","0.03501520528801891","1.0","0.20790278139761226","6","4","3","0.6875000000000002","1.0","0.875"
"OG0000156","","","1","15","84","190","1.1764705882352942","92.6829268292683","0.15079365079365079","0.04552198164359853","1.0","0.25438754447893297","6","1","5","0.21875000000000003","0.21875000000000003","0.21875"
