"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000151","","","129","27","131","3","49.61538461538461","10.0","0.10941475826972011","1.1788096618106764e-05","0.0011198691787201425","0.0011198691787201425","5","3","3","1.0","1.0","0.96875"
"OG0000004","","","184","10","76","20","70.76923076923077","66.66666666666666","4.842105263157895","0.00012117971527453517","0.01151207295108084","0.00575603647554042","11","6","6","0.9999999999999997","0.9999999999999997","0.023976023976023976"
"OG0000152","","","73","18","187","12","28.076923076923077","40.0","0.26024955436720143","0.0006973091479741239","0.06624436905754176","0.02208145635251392","9","4","7","0.17968750000000003","1.0","0.023976023976023976"
"OG0000144","","","254","26","6","4","97.6923076923077","13.333333333333334","6.512820512820513","0.012682391492429066","1.0","0.3012067979451903","3","2","1","1.0","1.0","0.11693989071038251"
"OG0000158","","","15","5","245","25","5.769230769230769","83.33333333333334","0.30612244897959184","0.04269492473182846","1.0","0.7685823248628819","4","1","4","0.125","0.625","0.11970802919708029"
"OG0000154","","","97","17","163","13","37.30769230769231","43.333333333333336","0.455070371706965","0.048542041570287284","1.0","0.7685823248628819","5","4","3","0.375","1.0","0.027972027972027972"
