"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000004","","","3","191","17","79","15.0","29.259259259259256","0.07299045272559286","1.0752014312503337e-06","0.0001021441359687817","0.0001021441359687817","5","2","4","0.375","1.0","0.09290709290709291"
"OG0000152","","","14","77","6","193","70.0","71.48148148148148","5.848484848484849","0.0002707481325965101","0.025721072596668462","0.012860536298334231","4","3","3","0.625","0.625","0.02197802197802198"
"OG0000151","","","18","138","2","132","90.0","48.888888888888886","8.608695652173912","0.0007179208933497421","0.0682024848682255","0.022734161622741833","5","4","2","0.375","1.0","0.07192807192807193"
"OG0000144","","","16","264","4","6","80.0","2.2222222222222223","0.09090909090909091","0.0026765127731531156","0.254268713449546","0.0635671783623865","3","1","2","1.0","1.0","0.17543859649122806"
"OG0000158","","","5","15","15","255","25.0","94.44444444444444","5.666666666666667","0.007372179764000209","0.7003570775800199","0.14007141551600397","4","3","1","0.625","0.625","0.06393606393606394"
"OG0000149","","","19","183","1","87","95.0","32.22222222222222","9.032786885245901","0.009939541790601041","0.9442564701070989","0.15737607835118314","5","5","1","0.0625","0.375","0.28125"
"OG0000002","","","12","225","8","45","60.0","16.666666666666664","0.3","0.015686144380280147","1.0","0.21288338801808773","5","3","4","0.375","1.0","0.20588235294117646"
